№,名称,郵便番号,住所,方書,電話番号,市町村区分,ロタリックス,ロタテック,ＨＩＢ,小児用肺炎球菌,Ｂ型肝炎,四種混合,MR,水痘,日本脳炎,二種混合,子宮頸がん,高齢者インフルエンザ,高齢者肺炎球菌,BCG,経度,緯度
1,藤見放射線科内科,530-0001,北区梅田１－３－１－２００,大阪駅前第１ビル２階,6345-6600,北区,,,,,,,,,,,,○,,,135.4966819,34.69898898
2,藤見診療所,530-0001,北区梅田１－３－１－２００,大阪駅前第１ビル２Ｆ,6345-0315,北区,,,,,,,,,,,,○,,,135.4966819,34.69898898
3,医療法人恒昭会アイノクリニック,530-0001,北区梅田１―１―３―１８００,,6344-0434,北区,,,,,,,,,,,,○,,,135.4995558,34.69895983
4,医療法人つとむ会　澤田内科医院,530-0001,北区梅田１―２―２―２００,大阪駅前第２ビル２階,6343-1414,北区,,,,,,,,,,,,○,○,,135.4981985,34.69890185
5,医療法人渡辺医学会桜橋渡辺病院,530-0001,北区梅田２―４―３２,,6341-8651,北区,,,,,,,,,,,,○,○,,135.4947703,34.69908122
6,大北メディカルクリニック,530-0001,北区梅田１―１２―１７,梅田第一生命ビル４Ｆ,6344-0380,北区,,,,,,,,,,,,○,,,135.497978,34.70027433
7,緑川クリニック,530-0001,北区梅田１―３―１―２００,大阪駅前第１ビル２Ｆ,6345-1148,北区,,,,,,,,,,,,○,,,135.4966819,34.69898898
8,今村クリニック,530-0001,北区梅田３―１―１,サウスゲートビル１７階,6341-5881,北区,,,,,,,,,,,,○,○,,135.4953262,34.7020961
9,はしろクリニック,530-0001,北区梅田１－２－２－２００,大阪駅前第２ビル２Ｆ,6347-0846,北区,,,,,,,,,,,,○,,,135.4981985,34.69890185
10,医療法人共創会　ＡＭＣ西梅田クリニック,530-0001,北区梅田３－３－４５,マルイト西梅田ビル３階,4797-5660,北区,,,,,,,,,,,,○,,,135.4918479,34.69971844
11,おおたきく子クリニック,530-0001,北区梅田２－４－３７,西梅田上島ビル５Ｆ,6147-8711,北区,,,,,,,,,,,,○,○,,135.4949681,34.69927643
12,医療法人華風会　ボークリニック,530-0001,北区梅田２－５－２５,梅田阪神第１ビルディング４階,6341-8733,北区,,,,,,,,,,,,○,,,135.4929858,34.69852643
13,医療法人国崇会　北中レディースクリニック,530-0001,北区梅田２－２－２,ヒルトンプラザウェスト４Ｆ,6348-1404,北区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.4953129,34.69948675
14,医療法人メディカル春日会　革嶋クリニック,530-0001,北区梅田２－４－１３,阪神産経桜橋ビル２Ｆ,6455-2000,北区,,,,,,,,,,,,○,○,,135.4936837,34.69814971
15,医療法人つづく　梅田トラベルクリニック,530-0001,北区梅田１－１２－１７,梅田スクエアビルディング１１Ｆ,6344-6701,北区,,,,,,,,,,,,○,○,,135.497978,34.70027433
16,梅田内科ファミリークリニック,530-0001,北区梅田１－８－１６,ヒルトンプラザイースト５階,6341-8008,北区,,,○,○,○,○,○,○,○,,,○,○,,135.4960084,34.70049721
17,医療法人涼葵会　Ｗ　ＣＬＩＮＩＣ梅田院,530-0001,北区梅田２－１－２１,レイズウメダビル４階,4708-3666,北区,,,,,,,,,,,○,○,,,135.4950676,34.69913725
18,医療法人博寿会　メッドセルクリニック大阪,530-0001,北区梅田２－５－２５,梅田阪神第１ビルディング４階,6454-3220,北区,,,,,,,,,,,,○,,,135.4929858,34.69852643
19,医療法人伯鳳会　大阪中央病院,530-0001,北区梅田３－３－３０,,4795-5505,北区,,,,,,,,,,,,○,○,,135.4909581,34.6988328
20,医療法人天星　ほしやまクリニック,530-0001,北区梅田１－８－１６,ヒルトンプラザイースト５階,6343-3511,北区,,,,,,,,,,,,○,,,135.4960084,34.70049721
21,中野内科医院,530-0002,北区曽根崎新地２―１―２１,桜橋深川ビル３階,6346-1107,北区,,,,,,,,,,,,○,,,135.4953115,34.69778107
22,医療法人オーク会　オーク梅田レディースクリニック,530-0002,北区曽根崎新地１－３－１６,京富ビル９階,6348-1511,北区,,,,,,,,,,,○,,,,135.4956539,34.69748175
23,医療法人京星会　ＪＯＨメディカルクリニック,530-0002,北区曽根崎新地１－４－２０,桜橋ＩＭビル２Ｆ,6147-8136,北区,,,,,,,○,,,,○,○,○,,135.4964577,34.69812529
24,北新地アサイクリニック,530-0002,北区曾根崎新地１－１－４４,フジモトビル１Ｆ,4796-9629,北区,,,,,○,,○,,,,○,○,○,,135.5007929,34.69666564
25,堂島わたなべクリニック,530-0003,北区堂島２―２―２,近鉄堂島ビルＢ１,6345-6611,北区,,,,,,,,,,,,○,○,,135.4950936,34.69676147
26,医療法人知音会　堂島内科・消化器内科クリニック,530-0003,北区堂島２－４－２７,,6343-1000,北区,,,,,,,,,,,,○,○,,135.4930867,34.69621603
27,しんちクリニック,530-0003,北区堂島１－２－２,日昭ビル２階,6344-5800,北区,,,,,,,,,,,,○,○,,135.4996161,34.69601468
28,福永診療所,530-0003,北区堂島２－１－４３,,6348-1667,北区,,,,,,,,,,,,○,○,,135.4953434,34.69604778
29,もりた堂島クリニック,530-0003,北区堂島１－６－２０,堂島アバンザ５階,6341-0885,北区,,,,,,,,,,,,○,○,,135.4965823,34.69667973
30,西梅田シティクリニック,530-0003,北区堂島１丁目,堂島地下街５号,4797-7009,北区,,,,,,,○,,○,,,○,○,,135.4983234,34.69658225
31,田中内科,530-0004,北区堂島浜２―１―３,堂島クレイドルビル２Ｆ,6344-3003,北区,,,,,,,,,,,,○,○,,135.4953871,34.69482332
32,加納内科,530-0005,北区中之島６―２―２７,中之島センタービル１８階,6445-1103,北区,,,,,,,,,,,○,○,○,,135.4843547,34.68678444
33,財団法人　住友病院,530-0005,北区中之島５―３―２０,,6443-1261,北区,○,,○,○,○,○,○,○,○,○,○,,,○,135.4874014,34.68868735
34,石上クリニック,530-0005,北区中之島３－３－２３－２６１１,,6131-4506,北区,,,,,,,,,,,,○,○,,135.4935458,34.69354512
35,医療法人阪急共栄会　北阪急ビル診療所,530-0012,北区芝田１ー４ー８,北阪急ビル３階,6372-3145,北区,,,,,,,,,,,,○,,,135.4971714,34.70573835
36,医療法人藤林クリニック,530-0012,北区芝田２―６―３０,梅田清和ビル５Ｆ,6373-7887,北区,,,,,,,,,,,,○,○,,135.4967783,34.70604648
37,医療法人東京整形浜口クリニック,530-0012,北区芝田１－１－２７,サセウメダビル６～８Ｆ,6371-2136,北区,,,,,,,,,,,,○,,,135.4973991,34.70476045
38,医療法人林クリニック,530-0012,北区芝田２―７―１８,全日空ビル新館１Ｆ,6372-1163,北区,,,,,,,,,,,,○,,,135.4964804,34.70742568
39,医療法人順育会　田中北梅田クリニック,530-0012,北区芝田２－８－１０,光栄ビル３階,6372-5588,北区,,,,,,,,,,,,○,,,135.4955554,34.70717901
40,守田耳鼻咽喉科大阪駅前耳管クリニック,530-0012,北区芝田１－１－２４,,6147-4133,北区,,,,,,,,,,,,○,,,135.4974569,34.70442206
41,にしむら内科・糖尿病クリニック,530-0012,北区芝田１－１０－８,山中ビル６Ｆ,6375-4976,北区,,,,,,,,,,,,○,○,,135.4968362,34.70739883
42,大阪府済生会中津病院,530-0012,北区芝田２―１０―３９,,6372-0333,北区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.4961091,34.70849242
43,介護老人保健施設ライフケア中津,530-0012,北区芝田２―１０―３９,,6372-1104,北区,,,,,,,,,,,,○,,,135.4961091,34.70849242
44,中津特別養護老人ホーム喜久寿苑,530-0012,北区芝田２―１０―３９,,6372-1001,北区,,,,,,,,,,,,○,,,135.4961091,34.70849242
45,医療法人ケイズ会　茶屋町レディースクリニック,530-0013,北区茶屋町２－１９,ＪＰＲ茶屋町ビル４階,6359-7771,北区,,,,,,,,,,,○,,,,135.498926,34.70607632
46,医療法人近藤クリニック,530-0013,北区茶屋町１―２７,ＡＩＧ梅田ビル１階,6375-2222,北区,,,,,,,,,,,○,○,○,,135.4999187,34.70466531
47,耳鼻咽喉科・アレルギー科　たなかクリニック,530-0013,北区茶屋町３―１４,大西茶屋町ビル３階,6486-1133,北区,,,,,,,,,,,,○,,,135.4991546,34.70633503
48,茶屋町レディースクリニック分院,530-0013,北区茶屋町１２－６,エスパシオン梅田ビル７階,6375-7772,北区,,,,,,,,,,,○,,,,135.4985432,34.70694976
49,東本内科,530-0013,北区茶屋町３－１,三晃ビル２Ｆ,6373-0381,北区,,,,,,,,,,,,○,○,,135.4991231,34.70616404
50,おおさか内分泌診療所,530-0013,北区茶屋町４－６,タケムラビル４Ｆ,6485-0505,北区,,,,,,,,,,,,○,○,,135.4992892,34.70620951
51,心療内科つばくろ診療所,530-0014,北区鶴野町１－３,安田ビル３階,6371-2896,北区,,,,,,,,,,,,○,○,,135.5009421,34.70618249
52,にしひら内科クリニック,530-0015,北区中崎西１－４－２４,,6377-1199,北区,,,,,,,,,,,,○,○,,135.5041455,34.70650968
53,医療法人泰山会介護老人保健施設青美,530-0015,北区中崎西３―３―４０,,6485-2283,北区,,,,,,,,,,,,○,,,135.5023804,34.7074409
54,医療法人　西村耳鼻咽喉科,530-0017,北区角田町８－４７,,6315-7771,北区,,,,,,,,,,,,○,,,135.4993942,34.70276676
55,医療法人　藤平胃腸科・放射線科,530-0017,北区角田町８―４７,阪急グランドビル２２階,6315-7755,北区,,,,,,,,,,,,○,,,135.4993942,34.70276676
56,志村ウィメンズクリニック,530-0017,北区角田町８―４７,阪急グランドビル２２階,6316-1132,北区,,,,,,,,,,,○,○,,,135.4993942,34.70276676
57,医療法人阪急共栄会　梅田阪急ビルクリニック,530-0017,北区角田町８－１,梅田阪急ビルオフィスタワー２１階,4792-7511,北区,,,,,,,,,,,,○,,,135.4991624,34.70211109
