医療機関名,住所,予約受付番号,受付_Web,受付_来院,受付_電話,受付_電話_曜日,受付_電話_時間,受付_電話_備考,受入_一般の方,受入_かかりつけの方,受入_妊婦,受入_こども_対象年齢,経度,緯度,URL,自由記入欄,ファイザー実施機関,モデルナ実施機関,ファイザー製ワクチン予約空き情報,モデルナ製ワクチン予約空き情報
城見ホール集団接種会場,大阪市中央区大阪城3-1　大阪城ホール内,0570-065-670,1,,1,,,,1,,,12歳,135.5341954,34.68911788,https://osaka.v-yoyaku.jp/login,,1,,01予約不可能,
やすらぎ天空館集団接種会場,大阪市阿倍野区阿倍野筋4丁目19-115,0570-065-670,1,,1,,,,1,,,12歳,135.510479196255,34.6408049312492,https://osaka.v-yoyaku.jp/login,,,1,,03予約可能
OCAT集団接種会場,大阪市浪速区湊町1丁目4-1 OCATビル3階,0570-065-670,1,,1,,,,1,,,12歳,135.4959444,34.66739272,https://osaka.v-yoyaku.jp/login,,,1,,01予約不可能
扇町プール集団接種会場,大阪市北区扇町1-1　扇町公園内,0570-065-670,1,,1,,,,1,,,12歳,135.5091287,34.70366983,https://osaka.v-yoyaku.jp/login,,,1,,01予約不可能
心斎橋BIGSTEP集団接種会場,大阪市中央区西心斎橋1丁目6-14,0570-065-670,1,,1,,,,1,,,12歳,135.4987202,34.67196792,https://osaka.v-yoyaku.jp/login,,,1,,01予約不可能
オスカードリーム集団接種会場,大阪市住之江区新北島1丁目2-1,0570-065-670,1,,1,,,,1,,,12歳,135.471760723144,34.6087133256786,https://osaka.v-yoyaku.jp/login,,,1,,01予約不可能
大阪府庁新別館（南館・北館）接種センター,大阪府大阪市中央区大手前3丁目1,,1,,1,,,,1,,,,135.518332,34.68419992,https://osaka-mvc.com/,空き情報は府HPにてご確認ください。,,1,,
大阪府庁咲洲接種センター,大阪市住之江区南港北1丁目14-16,,1,,1,,,,1,,,,135.4146498,34.63820678,https://osaka-mvc.com/,空き情報は府HPにてご確認ください。,,1,,
大阪府心斎橋接種センター,大阪府大阪市中央区南船場3丁目4-12,,1,,1,,,,1,,,,135.5026494,34.67570248,https://osaka-mvc.com/,空き情報は府HPにてご確認ください。,,1,,
医療法人健昌会　福島診療所,大阪市福島区玉川二丁目12番16号,06-6441-6848,,,1,月・水・金,14:00～16:00,一部一般患者受入を行う場合あり,,1,,,135.4795024,34.69183014,,,1,,,
ゆあさ内科,大阪市中央区谷町一丁目2番8号,06-6941-2727,,1,1,火,16:00～16:30,,,1,,,135.5175778,34.68902253,https://yuasa-naika.com/,,1,,,
医療法人富喜会　おおさき内科クリニック,大阪市天王寺区上本町六丁目9番21号　フュージョンプラスビル1階,06-4303-5010,,,1,,,,1,1,1,12歳,135.5190394,34.66391716,http://osaki-naika-zensoku.com/,,1,,,
あおばおうちクリニック,大阪市旭区森小路1-11-10,070-1486-6611,,,1,月～金,9:00～17:00,,1,1,1,12歳,135.5486449,34.72182048,http://aoba-zaitaku.net/,,1,,,
医療法人　河村クリニック,大阪市天王寺区上本町5-6-9,06-6761-6788,,,1,,,,,1,,12歳,135.5206923,34.66685724,http://www.kawamura-clinic.com/,,1,,,
先進会眼科大阪,大阪市北区小松原町3番3号　OSビル17階,,1,,,,,,1,1,1,12歳,135.5002363,34.70284445,https://senshinkai-clinic.jp/clinic/osaka/,,1,,,
医療法人華風会　ザ・北浜タワー耳鼻咽喉科皮膚科クリニック,大阪市中央区高麗橋一丁目7番3号　The　kitahama　PLAZA3階,06-4707-8700,,,1,①月・火・水・金 ②土,①10:00～13:00 15:30～19:00 ②10:00～13:00,,1,,,12歳,135.5066838,34.689427,https://8700-cl.com/,,1,,,
福本医院,大阪市中央区南船場3丁目6-19　心斎橋ワダビル2階,080-5772-5652,1,,1,,,,1,1,1,12歳,135.50146,34.67637049,https://shinsaibashi-fukumotocl.jp/,火・水・木　モデルナ　金・土　ファイザー,1,1,03予約可能,03予約可能
医療法人啓春会　いけじり内科外科クリニック,大阪市城東区関目六丁目7番8号,06-6180-1100,1,,1,月・金,17:00～18:30,かかりつけの方のみ来院時に予約受付,,1,1,16歳,135.5518446,34.71524412,http://ikejiri-clinic.com/,,1,,,
馬場内科クリニック,大阪市淀川区西中島一丁目13番8号　N’sFirstI2M-102号室,06-6195-3730,,,1,①月・火・木・金 ②土,①9:00～12:30 16:00～18:30 ②9:00～12:30,,1,1,1,12歳,135.5001782,34.72524898,https://www.babanaika-clinic.com/,,1,,03予約可能,
医療法人晋晃会　ちはるクリニック,大阪市淀川区十三本町二丁目1番26号　十三NLCビル5階,,,1,,,,,,1,1,,135.4811789,34.71988266,https://www.chiharuclinic.com/,,1,,,
畑小児科,大阪市住吉区長居3-9-3,06-6690-7811,1,,1,月・火・水・金,12:00～16:00,,1,,1,12歳,135.511757,34.61058778,https://ssc6.doctorqube.com/hata-med/,,1,,,
医療法人厚匠会　うえだ医院,大阪市中央区本町四丁目2番12号　野村不動産御堂筋本町ビル4階,06-6251-8290,,,1,月～金,9:30～13:00 15:00～18:00,,1,,1,12歳,135.5003607,34.68322746,https://www.uedaiin.net/,,1,,,
金崎医院,大阪市淀川区十三本町2-8-2,06-6301-3989,,,1,①月・火・水・金 ②木・土,①9:00～13:00 17:00～19:00 ②9:00～13:00,,1,1,1,12歳,135.4804575,34.72008059,http://yodomed.jp/mi_page/?mi_id=k0nii4ygemzzzxoo,,1,,03予約可能,
医療法人真徳会　額田眼科診療所,大阪市淀川区十三元今里二丁目1番21号,06-6301-5940,,,1,月曜日,9:00～12:00,,,1,,,135.4779787,34.71913849,http://osaka-ganka.jp/clinic/%E5%8C%BB%E7%9C%9F%E5%BE%B3%E4%BC%9A%E9%A1%8D%E7%94%B0%E7%9C%BC%E7%A7%91%E8%A8%BA%E7%99%82%E6%89%80/,,1,,,
江川整形外科形成外科,大阪市北区角田町8番47号　阪急グランドビル22階,06-6315-8450,,1,1,,,かかりつけ患者のみのため来院予約のみの予定,,1,,,135.4993942,34.70276676,http://www.hgbcc.com/clinic/egawa.html,,1,,,
大阪天満消化器・内視鏡内科クリニック,大阪市北区天神橋4-4-2,080-8309-3730,1,,1,月～水,9:00～17:00,,1,1,,,135.5117241,34.70473657,https://www.sato-naika-clinic.com/tenma/,,1,,,
医療法人　寺内クリニック,大阪市中央区道頓堀1丁目東5-5,06-6213-1166,,1,1,,,,,1,1,12歳,135.5085982,34.66871762,https://terauchiclinic.jp/,,1,,,
医療法人健優会　にしむら内科・糖尿病クリニック,大阪市北区芝田一丁目10番8号　山中ビル6階,06-6375-4976,,,1,①月・火・水・金 ②木・土,①10:00～13:00 15:00～18:00 ②10:00～13:00,,,1,,,135.4968362,34.70739883,https://nishimura-clinic-dm.com/,,1,,,
医療法人なごみ会　恵理子内視鏡クリニック,大阪市淀川区宮原一丁目6番1号　新大阪ブリックビル2階,06-6393-8111,,,1,月・火・水・金,13:00～16:00,,,1,,,135.4998984,34.73522167,http://www.en-clinic.jp/,,1,,,
もりたこどもクリニック,大阪市淀川区西宮原3丁目3番98号　宮原クリニックモール301号,06-6395-2525,,,1,月・火・水・金,10:00～11:00 16:30～17:30,18歳未満は近隣の受入可,,1,,12歳,135.4928696,34.73923119,https://morita-kodomo.com/,,1,,02若干空き有り,
医療法人セント　聖徒クリニック,大阪市淀川区宮原4丁目4番63号　新大阪千代田ビル別館1階CD号室,06-6395-3051,,,1,月～金,9:00～11:30,高校生以下は保護者同伴必要,,1,1,12歳,135.4981293,34.7376038,https://www.sento-clinic.com/,,1,,,
和田クリニック,大阪市淀川区新高六丁目8番4号　シャトーグリーンマンション1階,06-6397-8577,,,1,火～金,17:00～19:00,,,1,1,,135.4753694,34.73191958,,,1,,,
医療法人　木もれ日会　阪神野田駅前ファミリークリニック,大阪市福島区鷺洲1-11-14　阪神ハイグレードマンション12番館101号,070-8585-3633,,,1,①月・火・水・金 ②土,①8:30～12:30 16:00～18:00 ②8:30～12:30,福島区在住の60歳以上の方はかかりつけでなくても受入可,,1,,12歳,135.4772236,34.69498537,https://noda-fcl.com/,,1,,01予約不可能,
公益財団法人　淀川勤労者厚生協会附属　此花診療所,大阪市此花区春日出北1丁目1番25号,06-6463-2222,,1,1,月～金,14:00～16:00,,,1,1,12歳,135.452422,34.68267571,http://www.k-hakuaikai.jp/konohana/,,1,,,
医療法人京春会　いわもとクリニック,大阪市中央区南船場3丁目5番11号　心斎橋フロントビル4階,06-6484-5208,,,1,,,,,1,1,12歳,135.5019369,34.67534838,http://www.iwamoto-cl.com/,,1,,,
医療法人　西平診療所,大阪市大正区千島三丁目4番21号,06-6553-1166,,,1,月・火・木・金・土,8:45～19:00,,1,,1,12歳,135.4714704,34.6518755,https://www.nishihira-clinic.com/,,1,,,
古林内科,大阪市港区港晴三丁目1番8号　ヴォーンルーエマンモス1階,06-6572-2332　,,,1,,,,,1,1,12歳,135.4449461,34.65837627,http://www.minato-med.or.jp/clinic/furubayasi.html,,1,,,
